CellID,X_centroid,Y_centroid
15485,3405.12315270936,3622.913793103448
15637,3401.8127208480564,3603.106007067138
15650,3356.8740157480315,3931.785826771653
15702,3338.1042128603103,3760.937915742794
15719,3559.951492537313,3139.4962686567164
15752,3082.0864661654136,2993.906015037594
15776,3506.952218430034,3554.6723549488056
15796,3113.098795180723,3526.4746987951808
15879,3251.756345177665,3535.1522842639592
15917,3149.181651376147,4026.196330275229
16028,3454.456790123457,3150.4938271604938
16057,3050.552166934189,3036.871589085072
16110,3630.070351758794,3746.0586264656617
16123,2851.4727838258164,3805.53965785381
16135,3002.0698113207545,4011.9415094339615
16142,3100.7135842880525,3042.8330605564647
16183,3277.8971962616824,3703.1728971962616
16221,2798.095435684648,3248.97510373444
16247,3291.167808219178,3347.107876712329
16647,3328.0338461538463,3950.04
16650,2638.626126126126,3739.022522522522
16667,2771.378698224852,3640.8313609467455
16795,2789.8192307692307,3676.8038461538463
16830,3566.395721925134,3795.0641711229946
16846,3194.1362916006337,3942.969889064976
16952,2839.560606060606,3582.954545454545
16967,3062.8205689277897,3206.4617067833697
17068,2820.464615384615,3867.467692307692
17124,3062.59891598916,3712.0650406504064
17157,3213.7433234421364,3538.913946587537
17367,2887.675675675676,3809.738738738739
17387,3034.6666666666665,3161.2397660818715
17395,2802.949468085106,3407.617021276596
17418,3079.99860724234,3073.8440111420614
17458,3663.570771001151,3443.6421173762947
17559,3518.9284294234594,3110.5745526838964
17567,3057.34,2990.50625
17577,3451.964125560538,3455.345291479821
17614,2833.9958333333334,3676.80625
17646,3454.884931506849,3718.334246575343
17657,3165.8811659192825,3307.269058295964
17684,3634.079664570231,3497.4150943396226
17753,2696.924944812362,3828.317880794702
17797,3105.906976744186,3165.285412262157
17813,2675.200980392157,3629.730392156863
17852,3595.1642228739,3491.882697947214
17987,3533.776699029126,3847.956310679612
18003,3183.518382352941,3189.264705882353
18038,3129.0,3675.198237885463
18049,3166.442492012779,3231.8051118210865
18271,2775.227118644068,3433.2
18357,3057.8567639257294,3678.503978779841
18418,3241.646191646192,3494.7027027027025
18431,3399.6,3711.7776223776223
18641,3027.436559139785,3267.4118279569893
18674,3329.30607966457,2984.6100628930817
18695,2829.2811059907835,3406.751152073733
18882,2870.083798882681,3826.18156424581
18962,2832.8360215053763,3885.432795698925
18966,3242.457050243112,3173.811993517018
19015,2843.94670846395,3438.786833855799
19073,3515.5504587155965,3174.0587155963303
19084,3353.2514285714287,4026.3352380952383
19159,3354.300279329609,3191.639664804469
19167,3436.2326869806093,3920.659279778393
19170,2734.58394160584,3292.470802919708
19171,3548.1646447140383,3627.7504332755634
19189,2918.420749279539,4018.5187319884726
19241,3034.332493702771,3699.128463476072
19266,3217.3062730627307,3399.8929889298893
19415,2882.3932346723045,3545.027484143763
19591,3070.9986772486773,4068.046296296296
19593,3554.7885714285712,3576.095238095238
19601,3430.6717171717173,3401.2373737373737
19771,3402.938235294117,3230.035294117647
19815,3684.620309050773,3631.646799116998
20045,3157.2733990147785,3351.022167487685
20208,3092.7254098360654,3868.1352459016393
20220,3404.062827225131,3567.089005235602
20223,3111.184210526316,3836.913875598086
20399,3114.6,3065.273333333333
20638,2966.030985915493,3795.76338028169
20695,3249.7522123893805,4054.855457227138
20716,2692.8689655172416,3783.855172413793
20788,3218.1732776617955,3663.300626304802
21068,2641.104361370717,3591.552959501558
21178,3193.5627705627708,3902.896103896104
21180,3710.4499229583976,3525.759630200308
21339,3313.8391719745223,3490.829617834395
21355,3474.321596244132,3212.6643192488264
21434,3324.346153846154,3925.826923076923
21495,3175.909090909091,3347.791788856305
21684,2744.9217252396165,3675.215654952077
21694,3053.9798488664987,3238.337531486146
21753,3271.2450980392155,3237.467787114846
21871,3433.928571428572,3198.8755760368663
21876,3379.2220543806648,3449.19335347432
21882,2715.8807106598983,3557.951776649746
21912,3140.680170575693,3118.874200426439
21952,3569.204663212435,3223.759067357513
22075,3055.4349680170576,3827.771855010661
22109,3550.0824175824177,3846.934065934066
22113,3376.615062761506,3662.125523012552
22286,2708.063862928349,3678.5732087227416
22378,3271.45,3560.5
22381,2833.317813765182,3950.587044534413
22489,3177.170028818444,2977.170028818444
22573,3046.9272237196765,3173.859838274933
22613,3012.3885135135133,3902.1942567567567
22657,3007.9128065395093,3923.3950953678473
22816,3444.035019455253,3243.2256809338523
22907,3068.918681318681,3610.586813186813
23093,3049.598360655738,3431.708196721312
23130,2978.8777777777777,3901.188888888889
23157,3319.293768545994,3160.421364985163
23178,3281.590534979424,3274.2119341563784
23243,3237.980198019802,3556.3683168316834
23293,3301.091040462428,3520.6401734104047
23377,3240.4814090019568,3084.099804305284
23564,3393.0066445182724,3802.749169435216
23631,3294.2183908045977,3949.399425287356
23659,3016.16551724138,4062.7034482758622
23661,3133.733905579399,3426.8755364806866
23697,2786.192393736018,3587.917225950783
23709,3093.9244897959184,3131.983673469388
23795,3609.164502164502,3731.147186147186
23958,2939.5318559556786,3148.6897506925206
24130,3346.422913719944,3227.609618104668
24132,3059.590909090909,3328.486631016043
24159,2989.32797029703,4052.6992574257424
24249,3054.313725490196,3373.029411764706
24257,2950.4070945945946,3994.3158783783774
24261,3189.255157437568,3996.233441910966
24287,3075.06043956044,3549.945054945055
24341,3118.131979695432,3358.609137055837
24398,3078.726495726496,3289.5811965811968
24412,3183.791154791155,3406.162162162162
24478,3028.2954545454545,3438.7685950413224
24547,3389.642748091603,3191.219847328244
24666,3476.808695652174,3159.1434782608694
24681,3407.6204620462045,3863.907590759076
24713,3488.0038759689924,3902.9263565891474
