phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,495754.0,AGSCC_1_495754,39237.1333333333,31734.9921568627
stromal cells,Stromal,495866.0,AGSCC_1_495866,39850.3957446808,31387.2829787234
stromal cells,Stromal,496293.0,AGSCC_1_496293,39211.6844660194,31895.8689320388
stromal cells,Stromal,496988.0,AGSCC_1_496988,38892.5820895522,32176.5552238806
stromal cells,Stromal,497004.0,AGSCC_1_497004,38212.3892215569,29795.3173652695
stromal cells,Stromal,497405.0,AGSCC_1_497405,39181.4886363636,31900.3825757576
memory CD4+ T cells,Regulatory T cells,497752.0,AGSCC_1_497752,38070.8739495798,32622.6302521008
other APCs,Other APCs,497975.0,AGSCC_1_497975,38558.7236842105,30380.5723684211
CD4+ T cells,CD4+ T cells,498226.0,AGSCC_1_498226,37871.9663865546,31533.1596638655
stromal cells,Stromal,498321.0,AGSCC_1_498321,39196.0443548387,31887.2016129032
stromal cells,Stromal,498740.0,AGSCC_1_498740,39120.0663716814,31944.2300884956
CD4+ T cells,CD4+ T cells,499803.0,AGSCC_1_499803,38418.528957529,30935.7760617761
stromal cells,Stromal,500272.0,AGSCC_1_500272,38841.4712643678,31991.2950191571
stromal cells,Stromal,500328.0,AGSCC_1_500328,37911.3841463415,31304.4481707317
stromal cells,Stromal,500403.0,AGSCC_1_500403,39771.9482758621,31766.9448275862
stromal cells,Stromal,501032.0,AGSCC_1_501032,38121.4931506849,29823.2397260274
endothelial cells,Endothelial,501959.0,AGSCC_1_501959,38006.2755905512,31315.4763779528
CD4+ T cells,CD4+ T cells,502157.0,AGSCC_1_502157,38263.9338624339,29536.1798941799
stromal cells,Stromal,502211.0,AGSCC_1_502211,37858.9063670412,31348.8913857678
M1/M0 macrophages,M1/M0 macrophages,503576.0,AGSCC_1_503576,38655.4569892473,31837.1801075269
stromal cells,Stromal,503615.0,AGSCC_1_503615,38694.5740740741,30620.9027777778
stromal cells,Stromal,503931.0,AGSCC_1_503931,39391.274559194,32610.0201511335
stromal cells,Stromal,504504.0,AGSCC_1_504504,37885.2023809524,31023.9166666667
stromal cells,Stromal,505035.0,AGSCC_1_505035,38832.4957264957,32107.8831908832
memory CD4+ T cells,Regulatory T cells,506117.0,AGSCC_1_506117,38915.8678414097,32836.0308370044
endothelial cells,Endothelial,506227.0,AGSCC_1_506227,39550.4505208333,31685.1354166667
regulatory T cells,Regulatory T cells,507521.0,AGSCC_1_507521,38557.286407767,32118.7427184466
stromal cells,Stromal,507705.0,AGSCC_1_507705,38715.3979057592,30907.890052356
effector CD8+ T cells,Effector CD8+ T cells,507879.0,AGSCC_1_507879,38450.0084388186,29789.6371308017
memory CD4+ T cells,Regulatory T cells,508681.0,AGSCC_1_508681,37888.1771428571,32797.7371428571
stromal cells,Stromal,508925.0,AGSCC_1_508925,38660.5806451613,32372.7235023041
stromal cells,Stromal,509838.0,AGSCC_1_509838,38792.0486725664,32248.5309734513
effector CD8+ T cells,Effector CD8+ T cells,510024.0,AGSCC_1_510024,39520.1487603306,31832.6446280992
other APCs,Other APCs,510218.0,AGSCC_1_510218,37903.580952381,31278.2380952381
stromal cells,Stromal,510618.0,AGSCC_1_510618,39523.5864978903,32609.8438818565
effector CD8+ T cells,Effector CD8+ T cells,510622.0,AGSCC_1_510622,39544.438247012,32550.3227091633
other APCs,Other APCs,511084.0,AGSCC_1_511084,38782.2277992278,29444.5752895753
memory CD4+ T cells,Regulatory T cells,511641.0,AGSCC_1_511641,38747.0384615385,32743.3846153846
stromal cells,Stromal,512030.0,AGSCC_1_512030,38620.5424528302,30756.0566037736
stromal cells,Stromal,512643.0,AGSCC_1_512643,38032.15,32694.35625
memory CD4+ T cells,Regulatory T cells,512777.0,AGSCC_1_512777,38947.2903225806,31812.8467741935
regulatory T cells,Regulatory T cells,512944.0,AGSCC_1_512944,38261.2200772201,31111.2934362934
stromal cells,Stromal,514184.0,AGSCC_1_514184,39109.8606060606,32069.3878787879
effector CD8+ T cells,Effector CD8+ T cells,514980.0,AGSCC_1_514980,39467.7053941909,32653.9585062241
stromal cells,Stromal,515249.0,AGSCC_1_515249,39819.5796610169,31829.5813559322
stromal cells,Stromal,515325.0,AGSCC_1_515325,38342.3684210526,31004.8618421053
M2 macrophages,M2 macrophages,515765.0,AGSCC_1_515765,38221.3846153846,29561.407239819
CD4+ T cells,CD4+ T cells,515776.0,AGSCC_1_515776,38306.4444444444,31064.2345679012
dendritic cells,Dendritic cells,515864.0,AGSCC_1_515864,38910.3991416309,32310.8540772532
CD4+ T cells,CD4+ T cells,516266.0,AGSCC_1_516266,38171.6631016043,29805.743315508
stromal cells,Stromal,517010.0,AGSCC_1_517010,38918.1310861423,31752.7153558052
stromal cells,Stromal,518291.0,AGSCC_1_518291,38430.8522167488,32231.1921182266
stromal cells,Stromal,518408.0,AGSCC_1_518408,37800.4736842105,31088.4736842105
stromal cells,Stromal,518436.0,AGSCC_1_518436,38069.7958115183,32669.445026178
effector CD8+ T cells,Effector CD8+ T cells,518710.0,AGSCC_1_518710,38481.8017241379,31031.5344827586
tumor cells,Tumor,518724.0,AGSCC_1_518724,39540.0448717949,32456.7628205128
stromal cells,Stromal,518996.0,AGSCC_1_518996,39418.2532894737,31980.2236842105
CD4+ T cells,CD4+ T cells,519563.0,AGSCC_1_519563,38474.8965517241,30986.8697318008
stromal cells,Stromal,519749.0,AGSCC_1_519749,39346.7022222222,32083.4666666667
tumor cells,Tumor,520236.0,AGSCC_1_520236,39080.0583941606,33244.0145985401
B cells,B cells,520818.0,AGSCC_1_520818,39120.6576086957,30674.3043478261
memory CD4+ T cells,Regulatory T cells,521157.0,AGSCC_1_521157,39524.4089219331,31922.3977695167
CD4+ T cells,CD4+ T cells,521360.0,AGSCC_1_521360,39024.4147286822,32772.3410852713
CD4+ T cells,CD4+ T cells,522358.0,AGSCC_1_522358,38818.8951965065,32314.3013100437
memory CD4+ T cells,Regulatory T cells,522495.0,AGSCC_1_522495,39411.2291666667,31814.2541666667
stromal cells,Stromal,522514.0,AGSCC_1_522514,38202.7961783439,29857.7006369427
M1/M0 macrophages,M1/M0 macrophages,522526.0,AGSCC_1_522526,38564.4316239316,30966.8547008547
dendritic cells,Dendritic cells,522636.0,AGSCC_1_522636,39146.8433048433,33055.4643874644
stromal cells,Stromal,525018.0,AGSCC_1_525018,38746.3703703704,32792.1111111111
CD4+ T cells,CD4+ T cells,525510.0,AGSCC_1_525510,38228.5534759358,31138.2326203209
stromal cells,Stromal,526411.0,AGSCC_1_526411,38598.5376344086,32187.2876344086
stromal cells,Stromal,526802.0,AGSCC_1_526802,38276.8757763975,31037.8633540373
dendritic cells,Dendritic cells,527059.0,AGSCC_1_527059,39188.5111111111,31713.2777777778
memory CD4+ T cells,Regulatory T cells,527195.0,AGSCC_1_527195,37967.8305084746,31025.0169491525
CD4+ T cells,CD4+ T cells,527375.0,AGSCC_1_527375,39659.3020134228,31114.8187919463
CD4+ T cells,CD4+ T cells,527429.0,AGSCC_1_527429,38432.9025641026,30872.0974358974
endothelial cells,Endothelial,527629.0,AGSCC_1_527629,38786.59697733,32769.3173803526
stromal cells,Stromal,527756.0,AGSCC_1_527756,38752.9366666667,32152.6666666667
stromal cells,Stromal,528168.0,AGSCC_1_528168,37932.2639593909,32740.4365482234
stromal cells,Stromal,530050.0,AGSCC_1_530050,38847.3909952607,32690.2630331754
stromal cells,Stromal,530494.0,AGSCC_1_530494,38726.3636363636,31943.2290909091
effector CD8+ T cells,Effector CD8+ T cells,530658.0,AGSCC_1_530658,39285.4612794613,32010.3063973064
CD4+ T cells,CD4+ T cells,530889.0,AGSCC_1_530889,37886.6120689655,32711.3318965517
effector CD8+ T cells,Effector CD8+ T cells,531012.0,AGSCC_1_531012,38399.6543624161,32290.6979865772
memory CD8+ T cells,Effector CD8+ T cells,534132.0,AGSCC_1_534132,39016.3458646617,32808.8496240602
M2 macrophages,M2 macrophages,534295.0,AGSCC_1_534295,39798.2033898305,31119.186440678
effector CD8+ T cells,Effector CD8+ T cells,534505.0,AGSCC_1_534505,38393.6607142857,30938.5535714286
endothelial cells,Endothelial,534557.0,AGSCC_1_534557,39878.4237918216,31597.0371747212
stromal cells,Stromal,534952.0,AGSCC_1_534952,39199.1170825336,30307.6967370441
stromal cells,Stromal,535842.0,AGSCC_1_535842,39844.0228310502,31703.4155251142
stromal cells,Stromal,535932.0,AGSCC_1_535932,37816.9693251534,31364.036809816
stromal cells,Stromal,537075.0,AGSCC_1_537075,39640.984375,31049.39453125
stromal cells,Stromal,537408.0,AGSCC_1_537408,38599.675,32413.49375
effector CD8+ T cells,Effector CD8+ T cells,539106.0,AGSCC_1_539106,38751.3052631579,32259.3631578947
memory CD4+ T cells,Regulatory T cells,540643.0,AGSCC_1_540643,39039.4556574924,31729.8195718654
memory CD4+ T cells,Regulatory T cells,541098.0,AGSCC_1_541098,39466.8514492754,32685.3550724638
other APCs,Other APCs,541198.0,AGSCC_1_541198,38432.9966442953,29510.7516778523
effector CD8+ T cells,Effector CD8+ T cells,541370.0,AGSCC_1_541370,38037.6571428571,32529.419047619
CD4+ T cells,CD4+ T cells,541553.0,AGSCC_1_541553,38488.7175141243,31353.2005649718
stromal cells,Stromal,541911.0,AGSCC_1_541911,38032.209039548,32590.7175141243
stromal cells,Stromal,541928.0,AGSCC_1_541928,37812.1960784314,31121.1078431373
tumor cells,Tumor,542077.0,AGSCC_1_542077,39686.5380952381,32421.019047619
effector CD8+ T cells,Effector CD8+ T cells,542226.0,AGSCC_1_542226,38108.7355371901,29663.3140495868
stromal cells,Stromal,542449.0,AGSCC_1_542449,39499.9196217494,31888.0047281324
endothelial cells,Endothelial,543285.0,AGSCC_1_543285,38496.0687022901,32513.8396946565
memory CD4+ T cells,Regulatory T cells,543534.0,AGSCC_1_543534,38158.6582278481,31097.8101265823
stromal cells,Stromal,544289.0,AGSCC_1_544289,39413.6057692308,32011.3173076923
stromal cells,Stromal,544345.0,AGSCC_1_544345,38330.8037825059,32531.536643026
stromal cells,Stromal,544358.0,AGSCC_1_544358,38686.1585365854,30909.6300813008
endothelial cells,Endothelial,545108.0,AGSCC_1_545108,39328.5752427184,31866.3713592233
M1/M0 macrophages,M1/M0 macrophages,545138.0,AGSCC_1_545138,39177.6090047393,31933.3578199052
CD4+ T cells,CD4+ T cells,545484.0,AGSCC_1_545484,39221.700617284,30367.3796296296
endothelial cells,Endothelial,545557.0,AGSCC_1_545557,38712.5095057034,32444.3181242079
Ki67+ tumor cells,Ki67+ tumor,545706.0,AGSCC_1_545706,38861.3042328042,32367.9523809524
stromal cells,Stromal,546660.0,AGSCC_1_546660,37916.312267658,31371.624535316
stromal cells,Stromal,547968.0,AGSCC_1_547968,38740.1090342679,31872.9190031153
effector CD8+ T cells,Effector CD8+ T cells,548100.0,AGSCC_1_548100,38832.2397660819,32565.3742690058
endothelial cells,Endothelial,548981.0,AGSCC_1_548981,39207.5732484076,31979.0222929936
stromal cells,Stromal,549040.0,AGSCC_1_549040,38407.5328467153,30972.102189781
stromal cells,Stromal,549158.0,AGSCC_1_549158,37862.2248062015,31157.5813953488
M2 macrophages,M2 macrophages,549161.0,AGSCC_1_549161,39254.1142857143,31974.3428571429
CD4+ T cells,CD4+ T cells,549683.0,AGSCC_1_549683,38356.4171779141,31032.717791411
stromal cells,Stromal,549921.0,AGSCC_1_549921,38846.2063492063,29426.8333333333
stromal cells,Stromal,550349.0,AGSCC_1_550349,38866.5342019544,32101.3094462541
stromal cells,Stromal,550702.0,AGSCC_1_550702,39574.1769547325,31800.7736625514
stromal cells,Stromal,550908.0,AGSCC_1_550908,39391.0093896714,31902.3755868545
endothelial cells,Endothelial,552206.0,AGSCC_1_552206,39337.3298701299,31915.6753246753
CD4+ T cells,CD4+ T cells,552297.0,AGSCC_1_552297,38284.3708206687,31107.6960486322
stromal cells,Stromal,552786.0,AGSCC_1_552786,38478.4042553191,32365.1382978723
stromal cells,Stromal,553599.0,AGSCC_1_553599,39155.846975089,32071.9572953737
CD4+ T cells,CD4+ T cells,553656.0,AGSCC_1_553656,37933.2934782609,32586.8315217391
stromal cells,Stromal,553737.0,AGSCC_1_553737,39241.6858974359,32010.2275641026
stromal cells,Stromal,554528.0,AGSCC_1_554528,39504.7721179625,31852.8203753351
stromal cells,Stromal,555115.0,AGSCC_1_555115,39394.6577629382,30356.0434056761
stromal cells,Stromal,555128.0,AGSCC_1_555128,39604.9840425532,31908.1808510638
effector CD8+ T cells,Effector CD8+ T cells,555564.0,AGSCC_1_555564,38789.0766129032,29581.5846774194
effector CD8+ T cells,Effector CD8+ T cells,556314.0,AGSCC_1_556314,38266.171875,30967.1875
CD4+ T cells,CD4+ T cells,556862.0,AGSCC_1_556862,37945.868852459,32578.0491803279
stromal cells,Stromal,556865.0,AGSCC_1_556865,37904.7299270073,32732.5912408759
regulatory T cells,Regulatory T cells,557398.0,AGSCC_1_557398,38478.2739273927,31019.5841584158
M1/M0 macrophages,M1/M0 macrophages,558637.0,AGSCC_1_558637,38676.9396551724,29770.1271551724
M1/M0 macrophages,M1/M0 macrophages,558806.0,AGSCC_1_558806,38324.3333333333,31082.2037037037
stromal cells,Stromal,559039.0,AGSCC_1_559039,38543.739010989,32478.6510989011
memory CD4+ T cells,Regulatory T cells,559130.0,AGSCC_1_559130,38115.1349693252,29566.6319018405
