phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
Ki67+ tumor cells,Ki67+ tumor,75824.0,F82P1_75824,31653.0691056911,27949.1178861789
Ki67+ tumor cells,Ki67+ tumor,75904.0,F82P1_75904,33045.9146608315,25761.1531728665
tumor cells,Tumor,75932.0,F82P1_75932,31478.46875,25798.4821428571
memory CD8+ T cells,Effector CD8+ T cells,75975.0,F82P1_75975,31775.399103139,24689.2780269058
Ki67+ tumor cells,Ki67+ tumor,76077.0,F82P1_76077,32999.0708446867,24471.3024523161
M2 macrophages,M2 macrophages,76105.0,F82P1_76105,31723.7586206897,28015.0517241379
tumor cells,Tumor,76164.0,F82P1_76164,31720.0240963855,25167.9457831325
Ki67+ tumor cells,Ki67+ tumor,76202.0,F82P1_76202,32305.1204379562,24490.3467153285
tumor cells,Tumor,76347.0,F82P1_76347,32244.6956521739,25128.2517162471
Ki67+ tumor cells,Ki67+ tumor,76566.0,F82P1_76566,32674.8063380282,24459.5950704225
tumor cells,Tumor,76572.0,F82P1_76572,31425.4404761905,26141.7321428571
other APCs,Other APCs,76656.0,F82P1_76656,32376.6308411215,25426.2429906542
tumor cells,Tumor,76678.0,F82P1_76678,31625.7892156863,25611.8382352941
tumor cells,Tumor,76778.0,F82P1_76778,31643.8027842227,25094.4733178654
tumor cells,Tumor,76801.0,F82P1_76801,31914.6108374384,24800.4088669951
Ki67+ tumor cells,Ki67+ tumor,77017.0,F82P1_77017,31663.0570342205,25051.9847908745
tumor cells,Tumor,77071.0,F82P1_77071,32430.9368131868,26560.8818681319
other APCs,Other APCs,77228.0,F82P1_77228,31528.2936507937,25940.4047619048
tumor cells,Tumor,77331.0,F82P1_77331,31632.8100558659,25063.6312849162
tumor cells,Tumor,77353.0,F82P1_77353,31896.964028777,27131.4868105516
Ki67+ tumor cells,Ki67+ tumor,77418.0,F82P1_77418,32827.6233766234,26121.632034632
Ki67+ tumor cells,Ki67+ tumor,77436.0,F82P1_77436,32434.3484848485,26045.2777777778
tumor cells,Tumor,77443.0,F82P1_77443,32552.3176470588,27023.9019607843
tumor cells,Tumor,77453.0,F82P1_77453,32722.0583657588,25271.2529182879
tumor cells,Tumor,77476.0,F82P1_77476,31671.0096153846,26274.0
Unknown,Other,77586.0,F82P1_77586,32330.4698275862,25376.7974137931
Ki67+ tumor cells,Ki67+ tumor,77634.0,F82P1_77634,32380.9416342412,25668.9416342412
tumor cells,Tumor,77738.0,F82P1_77738,31777.2858796296,26782.8298611111
tumor cells,Tumor,77791.0,F82P1_77791,31682.7771084337,24789.2409638554
tumor cells,Tumor,77850.0,F82P1_77850,31913.7086956522,24696.5130434783
tumor cells,Tumor,77854.0,F82P1_77854,32078.9087452471,25893.3155893536
tumor cells,Tumor,77952.0,F82P1_77952,31445.4741935484,25985.9032258065
other APCs,Other APCs,78220.0,F82P1_78220,31621.2801932367,27836.7536231884
tumor cells,Tumor,78248.0,F82P1_78248,32262.6391585761,26658.7362459547
tumor cells,Tumor,78266.0,F82P1_78266,32521.2649842271,25493.0441640379
tumor cells,Tumor,78309.0,F82P1_78309,32273.3984168865,24527.7387862797
memory CD8+ T cells,Effector CD8+ T cells,78382.0,F82P1_78382,32494.1699029126,25478.9805825243
tumor cells,Tumor,78409.0,F82P1_78409,33732.3504273504,26598.4786324786
tumor cells,Tumor,78419.0,F82P1_78419,31490.7993421053,26313.5625
Ki67+ tumor cells,Ki67+ tumor,78498.0,F82P1_78498,32784.9256756757,26025.097972973
Ki67+ tumor cells,Ki67+ tumor,78556.0,F82P1_78556,32184.8965517241,24519.9923371648
other APCs,Other APCs,78557.0,F82P1_78557,32138.7054794521,25511.6335616438
tumor cells,Tumor,78785.0,F82P1_78785,31913.7623126338,27828.539614561
tumor cells,Tumor,78789.0,F82P1_78789,31793.0960451977,24738.4971751412
Ki67+ tumor cells,Ki67+ tumor,78795.0,F82P1_78795,31607.9280821918,25618.8630136986
other APCs,Other APCs,78800.0,F82P1_78800,31665.6085011186,27927.4272930649
tumor cells,Tumor,78835.0,F82P1_78835,31905.7699386503,27656.8558282209
tumor cells,Tumor,78849.0,F82P1_78849,31344.3258928571,25826.2946428571
dendritic cells,Dendritic cells,78953.0,F82P1_78953,31441.0571428571,25713.9523809524
Ki67+ tumor cells,Ki67+ tumor,79052.0,F82P1_79052,31445.1120448179,26202.6190476191
tumor cells,Tumor,79113.0,F82P1_79113,31560.6741573034,24709.1292134831
Ki67+ tumor cells,Ki67+ tumor,79248.0,F82P1_79248,32398.5523560209,24488.6465968586
tumor cells,Tumor,79280.0,F82P1_79280,31244.4301075269,25915.4462365591
tumor cells,Tumor,79354.0,F82P1_79354,31676.8082901554,27732.5803108808
NK,NK,79434.0,F82P1_79434,31553.7451923077,25656.6201923077
other APCs,Other APCs,79512.0,F82P1_79512,31842.7430555556,27923.3333333333
tumor cells,Tumor,79538.0,F82P1_79538,32002.5621621622,25788.772972973
memory CD8+ T cells,Effector CD8+ T cells,79541.0,F82P1_79541,31794.6568265683,25173.3431734317
Ki67+ tumor cells,Ki67+ tumor,79649.0,F82P1_79649,32205.2995951417,25518.5789473684
tumor cells,Tumor,79703.0,F82P1_79703,32493.5199161426,26101.6247379455
Ki67+ tumor cells,Ki67+ tumor,79726.0,F82P1_79726,31497.2824858757,26085.1694915254
tumor cells,Tumor,79793.0,F82P1_79793,31575.36,24726.792
tumor cells,Tumor,79811.0,F82P1_79811,32693.4303797468,25507.4398734177
Ki67+ tumor cells,Ki67+ tumor,80008.0,F82P1_80008,32805.3846153846,24472.8461538462
Ki67+ tumor cells,Ki67+ tumor,80223.0,F82P1_80223,32829.5923913043,25614.4864130435
tumor cells,Tumor,80238.0,F82P1_80238,32230.75,25487.8348214286
tumor cells,Tumor,80606.0,F82P1_80606,32902.08,26121.0355555556
tumor cells,Tumor,80686.0,F82P1_80686,32025.1101694915,25769.0169491525
other APCs,Other APCs,80701.0,F82P1_80701,31810.718875502,27906.3654618474
tumor cells,Tumor,80728.0,F82P1_80728,31577.375,25993.3988095238
tumor cells,Tumor,80729.0,F82P1_80729,31990.4007782101,25455.7626459144
Ki67+ tumor cells,Ki67+ tumor,80745.0,F82P1_80745,32656.9710743802,25530.7975206612
dendritic cells,Dendritic cells,80850.0,F82P1_80850,32781.4230769231,24448.6490384615
effector CD8+ T cells,Effector CD8+ T cells,80897.0,F82P1_80897,31542.4867924528,26143.320754717
tumor cells,Tumor,80906.0,F82P1_80906,31984.8690744921,24596.6546275395
tumor cells,Tumor,81032.0,F82P1_81032,33649.3559322034,25990.6327683616
tumor cells,Tumor,81046.0,F82P1_81046,31695.046692607,27834.9883268482
Ki67+ tumor cells,Ki67+ tumor,81143.0,F82P1_81143,31681.8315789474,27671.8168421053
Ki67+ tumor cells,Ki67+ tumor,81160.0,F82P1_81160,31763.661971831,25096.3427230047
other APCs,Other APCs,81268.0,F82P1_81268,31584.2929782082,27874.2905569007
tumor cells,Tumor,81283.0,F82P1_81283,32592.1683848797,26196.3951890034
other APCs,Other APCs,81434.0,F82P1_81434,31796.9150579151,27784.5444015444
tumor cells,Tumor,81450.0,F82P1_81450,31632.1893491124,27374.100591716
tumor cells,Tumor,81467.0,F82P1_81467,32016.188034188,27570.1217948718
tumor cells,Tumor,81475.0,F82P1_81475,31501.0991253644,25755.3731778426
tumor cells,Tumor,81535.0,F82P1_81535,33399.861878453,25923.3756906077
tumor cells,Tumor,81602.0,F82P1_81602,31813.8346774194,25365.4072580645
Ki67+ tumor cells,Ki67+ tumor,81633.0,F82P1_81633,31445.9133333333,26091.0566666667
Ki67+ tumor cells,Ki67+ tumor,81772.0,F82P1_81772,32847.8977272727,26321.5
other APCs,Other APCs,81907.0,F82P1_81907,31721.1654135338,25524.1954887218
tumor cells,Tumor,81934.0,F82P1_81934,32892.2619047619,26181.0680272109
tumor cells,Tumor,82162.0,F82P1_82162,31449.6433823529,27574.1029411765
tumor cells,Tumor,82254.0,F82P1_82254,33443.446,26197.968
effector CD8+ T cells,Effector CD8+ T cells,82270.0,F82P1_82270,31570.4285714286,27597.3076923077
M1/M0 macrophages,M1/M0 macrophages,82273.0,F82P1_82273,32595.1506024096,25751.6144578313
tumor cells,Tumor,82328.0,F82P1_82328,33870.719047619,26145.2071428571
tumor cells,Tumor,82543.0,F82P1_82543,31357.1231884058,25827.8768115942
tumor cells,Tumor,82687.0,F82P1_82687,32256.0788530466,25405.3082437276
tumor cells,Tumor,82714.0,F82P1_82714,32048.925989673,27826.0619621343
effector CD8+ T cells,Effector CD8+ T cells,82737.0,F82P1_82737,33101.2053571429,25789.8125
Ki67+ tumor cells,Ki67+ tumor,82763.0,F82P1_82763,32983.9099378882,26132.3385093168
tumor cells,Tumor,82766.0,F82P1_82766,31514.8208092486,25824.9826589595
Ki67+ tumor cells,Ki67+ tumor,82858.0,F82P1_82858,31426.6701570681,27498.8821989529
other APCs,Other APCs,82859.0,F82P1_82859,31637.146835443,27904.8481012658
tumor cells,Tumor,83095.0,F82P1_83095,31638.4969512195,24977.0945121951
other APCs,Other APCs,83105.0,F82P1_83105,31768.3390804598,28011.0938697318
Ki67+ tumor cells,Ki67+ tumor,83170.0,F82P1_83170,32485.6340057637,25704.9452449568
Ki67+ tumor cells,Ki67+ tumor,83181.0,F82P1_83181,31427.3675675676,26114.8486486486
tumor cells,Tumor,83249.0,F82P1_83249,32869.2899575672,26543.6407355021
tumor cells,Tumor,83258.0,F82P1_83258,31561.0672782875,25971.7003058104
M1/M0 macrophages,M1/M0 macrophages,83271.0,F82P1_83271,32816.05,25582.4375
tumor cells,Tumor,83344.0,F82P1_83344,31980.8823529412,26916.96
tumor cells,Tumor,83395.0,F82P1_83395,32016.6257309942,25444.2865497076
tumor cells,Tumor,83474.0,F82P1_83474,32774.1278195489,25912.2067669173
tumor cells,Tumor,83483.0,F82P1_83483,32550.5253164557,26090.7278481013
Ki67+ tumor cells,Ki67+ tumor,83505.0,F82P1_83505,31495.4431818182,25801.7765151515
tumor cells,Tumor,83589.0,F82P1_83589,32030.7291666667,27841.0928030303
tumor cells,Tumor,83597.0,F82P1_83597,33303.7784313726,25804.831372549
tumor cells,Tumor,83603.0,F82P1_83603,32912.9220779221,26768.4588744589
Ki67+ tumor cells,Ki67+ tumor,83635.0,F82P1_83635,33127.4801587302,26214.4603174603
tumor cells,Tumor,83674.0,F82P1_83674,31379.7805755396,25822.464028777
tumor cells,Tumor,83785.0,F82P1_83785,32931.3873015873,26133.4857142857
tumor cells,Tumor,83854.0,F82P1_83854,33522.7289719626,26333.3925233645
tumor cells,Tumor,84259.0,F82P1_84259,31700.7049180328,25121.3704918033
tumor cells,Tumor,84270.0,F82P1_84270,32342.7446808511,26697.9042553192
tumor cells,Tumor,84565.0,F82P1_84565,31384.9651162791,25837.5872093023
tumor cells,Tumor,84631.0,F82P1_84631,31487.0193905817,26393.163434903
Ki67+ tumor cells,Ki67+ tumor,84640.0,F82P1_84640,33137.8035087719,25809.649122807
Ki67+ tumor cells,Ki67+ tumor,84676.0,F82P1_84676,32810.0237388724,25920.8160237389
Ki67+ tumor cells,Ki67+ tumor,84703.0,F82P1_84703,31419.5811965812,26453.264957265
tumor cells,Tumor,84730.0,F82P1_84730,32337.0944055944,25978.9195804196
tumor cells,Tumor,84791.0,F82P1_84791,31794.3718820862,27944.9297052154
Ki67+ tumor cells,Ki67+ tumor,84799.0,F82P1_84799,31362.9962962963,25869.3407407407
Ki67+ tumor cells,Ki67+ tumor,84808.0,F82P1_84808,32906.180952381,24460.4031746032
tumor cells,Tumor,84854.0,F82P1_84854,32910.8173076923,26181.2163461538
NK,NK,85051.0,F82P1_85051,31309.2335025381,25855.4822335025
tumor cells,Tumor,85108.0,F82P1_85108,32039.992481203,25418.9548872181
tumor cells,Tumor,85155.0,F82P1_85155,32171.1445783133,27894.0168674699
tumor cells,Tumor,85170.0,F82P1_85170,32922.8775510204,26157.1326530612
tumor cells,Tumor,85248.0,F82P1_85248,31597.811634349,24678.4709141274
Ki67+ tumor cells,Ki67+ tumor,85355.0,F82P1_85355,31634.5023041475,26052.198156682
M1/M0 macrophages,M1/M0 macrophages,85369.0,F82P1_85369,32781.8930232558,24465.5813953488
tumor cells,Tumor,85510.0,F82P1_85510,33101.2960526316,25670.5526315789
tumor cells,Tumor,85548.0,F82P1_85548,31406.1918367347,26042.412244898
M1/M0 macrophages,M1/M0 macrophages,85693.0,F82P1_85693,31476.0863309353,25676.9748201439
tumor cells,Tumor,85867.0,F82P1_85867,32757.014084507,26216.4154929577
tumor cells,Tumor,86009.0,F82P1_86009,33144.915601023,25656.4884910486
Ki67+ tumor cells,Ki67+ tumor,86027.0,F82P1_86027,31812.5506329114,25130.4493670886
Ki67+ tumor cells,Ki67+ tumor,86074.0,F82P1_86074,32821.9931034483,26084.3379310345
Ki67+ tumor cells,Ki67+ tumor,86185.0,F82P1_86185,32163.6074074074,25495.4592592593
effector CD8+ T cells,Effector CD8+ T cells,86224.0,F82P1_86224,32119.6244343891,24525.9954751131
Ki67+ tumor cells,Ki67+ tumor,86241.0,F82P1_86241,32886.1386861314,24457.802919708
tumor cells,Tumor,86302.0,F82P1_86302,33591.0459921156,26916.7608409987
other APCs,Other APCs,86506.0,F82P1_86506,32399.4736842105,25649.866873065
tumor cells,Tumor,86510.0,F82P1_86510,31343.2351190476,25952.9821428571
Ki67+ tumor cells,Ki67+ tumor,86591.0,F82P1_86591,31928.4777777778,24652.7777777778
tumor cells,Tumor,86652.0,F82P1_86652,31520.8327526132,27815.9442508711
Ki67+ tumor cells,Ki67+ tumor,86711.0,F82P1_86711,31409.0877862595,25838.4351145038
