phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,80362.0,F81P1_80362,33243.2152777778,47695.6736111111
effector CD8+ T cells,Effector CD8+ T cells,80755.0,F81P1_80755,30286.6015936255,48235.1115537849
effector CD8+ T cells,Effector CD8+ T cells,81055.0,F81P1_81055,32773.2258064516,47704.0987903226
CD4+ T cells,CD4+ T cells,81090.0,F81P1_81090,29818.4213649852,48206.2077151335
CD4+ T cells,CD4+ T cells,81096.0,F81P1_81096,32036.6368421053,48358.952631579
M1/M0 macrophages,M1/M0 macrophages,81292.0,F81P1_81292,30898.1968085106,48717.5904255319
M1/M0 macrophages,M1/M0 macrophages,81445.0,F81P1_81445,31883.1940298507,47731.9900497512
effector CD8+ T cells,Effector CD8+ T cells,81816.0,F81P1_81816,29443.8962264151,48721.0613207547
CD4+ T cells,CD4+ T cells,81883.0,F81P1_81883,30419.88,48129.1
effector CD8+ T cells,Effector CD8+ T cells,82006.0,F81P1_82006,30996.7787769784,48282.9892086331
memory CD8+ T cells,Effector CD8+ T cells,82015.0,F81P1_82015,31025.8581560284,48433.0709219858
memory CD4+ T cells,Regulatory T cells,82026.0,F81P1_82026,28811.9589041096,48533.9068493151
stromal cells,Stromal,82048.0,F81P1_82048,29360.713740458,48020.2900763359
CD4+ T cells,CD4+ T cells,82075.0,F81P1_82075,30105.112,48002.84
regulatory T cells,Regulatory T cells,82116.0,F81P1_82116,33046.7764705882,48740.9450980392
endothelial cells,Endothelial,82393.0,F81P1_82393,33015.932038835,48492.5291262136
endothelial cells,Endothelial,82519.0,F81P1_82519,29694.262987013,47782.6525974026
endothelial cells,Endothelial,82522.0,F81P1_82522,31372.2892156863,48535.8382352941
effector CD8+ T cells,Effector CD8+ T cells,82616.0,F81P1_82616,30123.4627659574,48156.2127659575
memory CD8+ T cells,Effector CD8+ T cells,82713.0,F81P1_82713,30589.6215139442,48468.3107569721
effector CD8+ T cells,Effector CD8+ T cells,82784.0,F81P1_82784,30458.8423423423,48448.4954954955
CD4+ T cells,CD4+ T cells,82813.0,F81P1_82813,32435.4939759036,48452.5100401606
stromal cells,Stromal,82815.0,F81P1_82815,29231.8453038674,48025.182320442
effector CD8+ T cells,Effector CD8+ T cells,82877.0,F81P1_82877,32415.319218241,48575.3648208469
memory CD4+ T cells,Regulatory T cells,82909.0,F81P1_82909,30361.1325757576,48040.196969697
memory CD8+ T cells,Effector CD8+ T cells,82935.0,F81P1_82935,30857.1796116505,48230.7038834951
CD4+ T cells,CD4+ T cells,83187.0,F81P1_83187,33263.4150197629,48077.7272727273
CD4+ T cells,CD4+ T cells,83217.0,F81P1_83217,29617.6465863454,48742.2530120482
regulatory T cells,Regulatory T cells,83238.0,F81P1_83238,31671.5228426396,48404.5989847716
regulatory T cells,Regulatory T cells,83592.0,F81P1_83592,30545.8504672897,48502.6028037383
CD4+ T cells,CD4+ T cells,83693.0,F81P1_83693,32893.3513513514,48674.7567567568
stromal cells,Stromal,83763.0,F81P1_83763,29983.5769230769,48115.5256410256
CD4+ T cells,CD4+ T cells,83772.0,F81P1_83772,31094.8689320388,48675.5291262136
memory CD8+ T cells,Effector CD8+ T cells,83991.0,F81P1_83991,31205.0542986425,48359.6018099548
memory CD4+ T cells,Regulatory T cells,84098.0,F81P1_84098,31286.2049469965,48206.9469964664
memory CD4+ T cells,Regulatory T cells,84167.0,F81P1_84167,31045.4122137405,48320.2595419847
CD4+ T cells,CD4+ T cells,84222.0,F81P1_84222,32321.4636363636,47726.1818181818
memory CD4+ T cells,Regulatory T cells,84267.0,F81P1_84267,29535.0945945946,48116.1666666667
endothelial cells,Endothelial,84440.0,F81P1_84440,31232.6352459016,48514.3196721312
effector CD8+ T cells,Effector CD8+ T cells,84507.0,F81P1_84507,32650.2344497608,48613.3588516746
endothelial cells,Endothelial,84742.0,F81P1_84742,31272.5238095238,48168.4107142857
endothelial cells,Endothelial,84775.0,F81P1_84775,31558.4863636364,47593.2272727273
regulatory T cells,Regulatory T cells,84778.0,F81P1_84778,32643.1092896175,48307.2513661202
memory CD4+ T cells,Regulatory T cells,84803.0,F81P1_84803,31610.5777027027,48322.1351351351
memory CD4+ T cells,Regulatory T cells,85297.0,F81P1_85297,31588.925,48327.575
CD4+ T cells,CD4+ T cells,85617.0,F81P1_85617,33255.6776119403,47775.7611940299
endothelial cells,Endothelial,85714.0,F81P1_85714,32161.3069053708,48328.7774936061
