phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,37156.0,FAAGSCC_13_37156,32446.6044776119,24192.3756218905
Ki67+ tumor cells,Ki67+ tumor,37280.0,FAAGSCC_13_37280,32291.4074074074,24196.1590413943
tumor cells,Tumor,37683.0,FAAGSCC_13_37683,32334.1558823529,24165.0205882353
tumor cells,Tumor,37684.0,FAAGSCC_13_37684,31731.1775510204,23982.3571428571
tumor cells,Tumor,38000.0,FAAGSCC_13_38000,31692.4785478548,23802.8712871287
Ki67+ tumor cells,Ki67+ tumor,38132.0,FAAGSCC_13_38132,31148.4256,23286.0624
Ki67+ tumor cells,Ki67+ tumor,38173.0,FAAGSCC_13_38173,31161.2561863173,24691.1994177584
tumor cells,Tumor,38335.0,FAAGSCC_13_38335,31332.8050713154,24457.5721077655
tumor cells,Tumor,38336.0,FAAGSCC_13_38336,32989.5916542474,23609.694485842
other APCs,Other APCs,38438.0,FAAGSCC_13_38438,32433.708984375,24114.025390625
tumor cells,Tumor,38865.0,FAAGSCC_13_38865,31334.4759036145,24363.2204819277
tumor cells,Tumor,39197.0,FAAGSCC_13_39197,31484.2283105023,24017.7108066971
tumor cells,Tumor,39559.0,FAAGSCC_13_39559,33217.0705009276,23687.2077922078
tumor cells,Tumor,39582.0,FAAGSCC_13_39582,32161.9859813084,23729.9626168224
Ki67+ tumor cells,Ki67+ tumor,39729.0,FAAGSCC_13_39729,31227.5609065156,23576.1133144476
Ki67+ tumor cells,Ki67+ tumor,39793.0,FAAGSCC_13_39793,31875.5674740484,24413.8806228374
Ki67+ tumor cells,Ki67+ tumor,39837.0,FAAGSCC_13_39837,33291.3755458515,23727.9199417758
Ki67+ tumor cells,Ki67+ tumor,40066.0,FAAGSCC_13_40066,33024.637037037,23443.6172839506
tumor cells,Tumor,40123.0,FAAGSCC_13_40123,31047.8637911464,24139.5732122588
Ki67+ tumor cells,Ki67+ tumor,40212.0,FAAGSCC_13_40212,31377.6531531532,23397.9279279279
tumor cells,Tumor,40634.0,FAAGSCC_13_40634,32244.8218085106,24185.9015957447
Ki67+ tumor cells,Ki67+ tumor,40816.0,FAAGSCC_13_40816,33077.053968254,23513.1
tumor cells,Tumor,41617.0,FAAGSCC_13_41617,31545.1865965834,24009.2917214192
tumor cells,Tumor,41648.0,FAAGSCC_13_41648,31379.0492170022,23245.3982102908
tumor cells,Tumor,41664.0,FAAGSCC_13_41664,31653.112244898,23213.5357142857
Ki67+ tumor cells,Ki67+ tumor,41667.0,FAAGSCC_13_41667,31541.5751072961,23635.7896995708
tumor cells,Tumor,41678.0,FAAGSCC_13_41678,33213.6687306502,23745.4349845201
tumor cells,Tumor,42050.0,FAAGSCC_13_42050,31118.7799442897,23286.2841225627
tumor cells,Tumor,42171.0,FAAGSCC_13_42171,31734.098630137,23570.9835616438
other APCs,Other APCs,42219.0,FAAGSCC_13_42219,31634.6821345708,23781.6055684455
tumor cells,Tumor,42382.0,FAAGSCC_13_42382,32451.2103174603,24026.7043650794
tumor cells,Tumor,42404.0,FAAGSCC_13_42404,32884.5933014354,23658.990430622
Ki67+ tumor cells,Ki67+ tumor,42661.0,FAAGSCC_13_42661,31176.5502645503,24593.7182539683
Ki67+ tumor cells,Ki67+ tumor,42734.0,FAAGSCC_13_42734,31881.9857142857,24396.1183673469
Ki67+ tumor cells,Ki67+ tumor,42998.0,FAAGSCC_13_42998,31510.6612903226,24540.3709677419
tumor cells,Tumor,43073.0,FAAGSCC_13_43073,31821.3683602771,24611.2066974596
Ki67+ tumor cells,Ki67+ tumor,43159.0,FAAGSCC_13_43159,31424.3550834598,23954.1107738998
Ki67+ tumor cells,Ki67+ tumor,43218.0,FAAGSCC_13_43218,31615.9141742523,24131.33289987
tumor cells,Tumor,43499.0,FAAGSCC_13_43499,32743.0378289474,23798.6069078947
tumor cells,Tumor,43661.0,FAAGSCC_13_43661,31847.2026143791,23696.7091503268
tumor cells,Tumor,43914.0,FAAGSCC_13_43914,31008.1470180305,24524.2441054092
effector CD8+ T cells,Effector CD8+ T cells,44549.0,FAAGSCC_13_44549,31520.9793233083,24429.5507518797
tumor cells,Tumor,45247.0,FAAGSCC_13_45247,31638.8451612903,24144.4860215054
tumor cells,Tumor,45444.0,FAAGSCC_13_45444,32941.2751322751,23693.0194003527
tumor cells,Tumor,46918.0,FAAGSCC_13_46918,31386.2571428571,24560.4714285714
Ki67+ tumor cells,Ki67+ tumor,47502.0,FAAGSCC_13_47502,32444.8633540373,23283.500621118
Ki67+ tumor cells,Ki67+ tumor,47751.0,FAAGSCC_13_47751,32329.3112313938,23302.0730717185
tumor cells,Tumor,47784.0,FAAGSCC_13_47784,32771.7070707071,24363.4357864358
Ki67+ tumor cells,Ki67+ tumor,47959.0,FAAGSCC_13_47959,31834.0648967552,24091.9557522124
Ki67+ tumor cells,Ki67+ tumor,48291.0,FAAGSCC_13_48291,31732.7563559322,24055.9957627119
tumor cells,Tumor,48396.0,FAAGSCC_13_48396,31145.0645624103,24023.3357245337
tumor cells,Tumor,48971.0,FAAGSCC_13_48971,31622.4867924528,23625.9698113208
Ki67+ tumor cells,Ki67+ tumor,49143.0,FAAGSCC_13_49143,31781.6931216931,23260.880952381
Ki67+ tumor cells,Ki67+ tumor,49291.0,FAAGSCC_13_49291,31965.4692874693,24239.1105651106
tumor cells,Tumor,49360.0,FAAGSCC_13_49360,32948.2525423729,23970.4711864407
effector CD8+ T cells,Effector CD8+ T cells,49646.0,FAAGSCC_13_49646,31552.1058823529,24391.6352941176
Ki67+ tumor cells,Ki67+ tumor,49680.0,FAAGSCC_13_49680,31284.2680221811,23671.3863216266
tumor cells,Tumor,49980.0,FAAGSCC_13_49980,32664.2261580381,23335.591280654
tumor cells,Tumor,50072.0,FAAGSCC_13_50072,32792.4120982987,24202.4461247637
tumor cells,Tumor,50155.0,FAAGSCC_13_50155,32960.7065637066,23359.1293436293
Ki67+ tumor cells,Ki67+ tumor,50342.0,FAAGSCC_13_50342,32884.9152854512,23968.605893186
Ki67+ tumor cells,Ki67+ tumor,50423.0,FAAGSCC_13_50423,31082.6698630137,23915.8260273973
tumor cells,Tumor,50880.0,FAAGSCC_13_50880,31775.2135493373,24656.6259204713
Ki67+ tumor cells,Ki67+ tumor,50972.0,FAAGSCC_13_50972,31189.5314757482,24258.1836945304
Ki67+ tumor cells,Ki67+ tumor,51185.0,FAAGSCC_13_51185,31515.5478806907,24688.9199372057
tumor cells,Tumor,51212.0,FAAGSCC_13_51212,32162.9709090909,23204.1636363636
