phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,372711.0,FAAGSCC_13_372711,30892.9518072289,20464.1927710843
endothelial cells,Endothelial,372718.0,FAAGSCC_13_372718,30880.8588235294,20831.9588235294
endothelial cells,Endothelial,373085.0,FAAGSCC_13_373085,30969.1054545455,18940.9054545455
stromal cells,Stromal,373101.0,FAAGSCC_13_373101,30196.1046931408,19481.8014440433
stromal cells,Stromal,373643.0,FAAGSCC_13_373643,29503.0919282511,19318.2062780269
stromal cells,Stromal,373798.0,FAAGSCC_13_373798,30328.9003690037,19135.3542435424
M2 macrophages,M2 macrophages,373886.0,FAAGSCC_13_373886,29848.9125,20302.01875
endothelial cells,Endothelial,374006.0,FAAGSCC_13_374006,31204.1194968553,19263.7421383648
endothelial cells,Endothelial,374244.0,FAAGSCC_13_374244,30280.9408602151,19917.9193548387
endothelial cells,Endothelial,374488.0,FAAGSCC_13_374488,30662.5866666667,19709.1466666667
M2 macrophages,M2 macrophages,374884.0,FAAGSCC_13_374884,30163.154822335,20882.5126903553
endothelial cells,Endothelial,374980.0,FAAGSCC_13_374980,30039.3813559322,20591.2542372881
endothelial cells,Endothelial,375436.0,FAAGSCC_13_375436,30449.5963302752,20387.4587155963
stromal cells,Stromal,375580.0,FAAGSCC_13_375580,30417.0188679245,19936.3396226415
stromal cells,Stromal,376138.0,FAAGSCC_13_376138,29024.1022727273,20108.125
stromal cells,Stromal,377020.0,FAAGSCC_13_377020,30307.8590604027,19287.9932885906
stromal cells,Stromal,377477.0,FAAGSCC_13_377477,30708.4472222222,19850.7611111111
stromal cells,Stromal,377632.0,FAAGSCC_13_377632,30181.1130434783,19497.2173913043
stromal cells,Stromal,378372.0,FAAGSCC_13_378372,29964.7350835322,18827.3484486873
stromal cells,Stromal,378631.0,FAAGSCC_13_378631,30422.7039711191,20761.6895306859
stromal cells,Stromal,378735.0,FAAGSCC_13_378735,30191.7053435115,18989.3450381679
stromal cells,Stromal,378747.0,FAAGSCC_13_378747,29024.2183098592,19831.8169014084
stromal cells,Stromal,379290.0,FAAGSCC_13_379290,30280.3913043478,18962.4937888199
stromal cells,Stromal,379352.0,FAAGSCC_13_379352,30015.870342772,20453.0700447094
stromal cells,Stromal,379834.0,FAAGSCC_13_379834,29288.5272727273,20197.0666666667
other APCs,Other APCs,379887.0,FAAGSCC_13_379887,30245.4965986395,19000.79138322
stromal cells,Stromal,379922.0,FAAGSCC_13_379922,29761.4833333333,19543.8333333333
M2 macrophages,M2 macrophages,379994.0,FAAGSCC_13_379994,30241.1393939394,18989.4181818182
stromal cells,Stromal,380110.0,FAAGSCC_13_380110,30243.5403225806,20650.7258064516
stromal cells,Stromal,380295.0,FAAGSCC_13_380295,29004.8222222222,20256.5333333333
stromal cells,Stromal,380461.0,FAAGSCC_13_380461,30267.0446927374,18915.6396648045
stromal cells,Stromal,380603.0,FAAGSCC_13_380603,30078.101010101,19291.4545454545
stromal cells,Stromal,380758.0,FAAGSCC_13_380758,28926.5243553009,19434.6418338109
stromal cells,Stromal,380942.0,FAAGSCC_13_380942,29322.9602272727,19587.1477272727
neutrophils,Neutrophils,381106.0,FAAGSCC_13_381106,29712.3159722222,19087.90625
stromal cells,Stromal,381214.0,FAAGSCC_13_381214,29100.8996415771,19737.5913978495
stromal cells,Stromal,381286.0,FAAGSCC_13_381286,29522.7236024845,19295.450310559
stromal cells,Stromal,381604.0,FAAGSCC_13_381604,30363.5966386555,20122.7731092437
stromal cells,Stromal,381641.0,FAAGSCC_13_381641,29538.7323943662,19232.6654929577
endothelial cells,Endothelial,381840.0,FAAGSCC_13_381840,30279.8714285714,20151.8285714286
stromal cells,Stromal,381909.0,FAAGSCC_13_381909,29600.7370030581,19997.4770642202
stromal cells,Stromal,382018.0,FAAGSCC_13_382018,29515.2939189189,19743.9763513513
stromal cells,Stromal,382085.0,FAAGSCC_13_382085,30886.7894736842,20017.9473684211
M2 macrophages,M2 macrophages,382193.0,FAAGSCC_13_382193,30349.8624338624,18721.4788359788
stromal cells,Stromal,382205.0,FAAGSCC_13_382205,30322.2536231884,21078.3188405797
endothelial cells,Endothelial,382321.0,FAAGSCC_13_382321,30009.8961038961,20659.4155844156
stromal cells,Stromal,382368.0,FAAGSCC_13_382368,30351.2297297297,18918.1351351351
endothelial cells,Endothelial,382428.0,FAAGSCC_13_382428,30968.3435114504,18748.4236641221
endothelial cells,Endothelial,382547.0,FAAGSCC_13_382547,29337.8658892128,20073.8104956268
stromal cells,Stromal,382755.0,FAAGSCC_13_382755,30601.5358974359,19878.6205128205
stromal cells,Stromal,383247.0,FAAGSCC_13_383247,29031.1481481481,19498.0148148148
stromal cells,Stromal,383382.0,FAAGSCC_13_383382,29990.3138461538,20390.3784615385
stromal cells,Stromal,383514.0,FAAGSCC_13_383514,29872.4260204082,20263.9885204082
endothelial cells,Endothelial,383652.0,FAAGSCC_13_383652,30493.9653679654,21158.1298701299
stromal cells,Stromal,383663.0,FAAGSCC_13_383663,30808.679558011,19396.0773480663
stromal cells,Stromal,383684.0,FAAGSCC_13_383684,29021.6503267974,19780.5130718954
stromal cells,Stromal,383711.0,FAAGSCC_13_383711,30311.7300215983,20372.7451403888
endothelial cells,Endothelial,384306.0,FAAGSCC_13_384306,30122.8852459016,19916.762295082
endothelial cells,Endothelial,384900.0,FAAGSCC_13_384900,29207.7555555556,19038.425
stromal cells,Stromal,385216.0,FAAGSCC_13_385216,30540.3453608247,20619.1134020619
stromal cells,Stromal,385232.0,FAAGSCC_13_385232,29870.5094339623,19722.6037735849
stromal cells,Stromal,385286.0,FAAGSCC_13_385286,30069.2033898305,19996.384180791
stromal cells,Stromal,385288.0,FAAGSCC_13_385288,30195.4275618375,19040.8833922261
stromal cells,Stromal,385590.0,FAAGSCC_13_385590,30879.2173913043,20117.3229813665
endothelial cells,Endothelial,385610.0,FAAGSCC_13_385610,30866.15625,19604.3854166667
endothelial cells,Endothelial,385671.0,FAAGSCC_13_385671,30110.4526315789,19772.1157894737
NK,NK,385690.0,FAAGSCC_13_385690,29771.4715025907,19440.1347150259
endothelial cells,Endothelial,385843.0,FAAGSCC_13_385843,31024.5,19039.9041353383
stromal cells,Stromal,386294.0,FAAGSCC_13_386294,29979.6319444444,20873.9097222222
endothelial cells,Endothelial,386306.0,FAAGSCC_13_386306,30692.4917355372,19161.0371900826
endothelial cells,Endothelial,386409.0,FAAGSCC_13_386409,30792.6153846154,20286.9769230769
stromal cells,Stromal,386444.0,FAAGSCC_13_386444,29547.2493297587,19519.6568364611
stromal cells,Stromal,386756.0,FAAGSCC_13_386756,30491.5746031746,21143.4380952381
endothelial cells,Endothelial,386885.0,FAAGSCC_13_386885,29271.8621794872,19195.2371794872
stromal cells,Stromal,386948.0,FAAGSCC_13_386948,30131.4575,20942.4275
endothelial cells,Endothelial,387296.0,FAAGSCC_13_387296,30334.0408163265,19249.6326530612
stromal cells,Stromal,387596.0,FAAGSCC_13_387596,30639.2243902439,20739.3365853659
stromal cells,Stromal,387876.0,FAAGSCC_13_387876,30153.037815126,20251.6008403361
endothelial cells,Endothelial,387975.0,FAAGSCC_13_387975,29371.3232323232,19069.430976431
stromal cells,Stromal,388328.0,FAAGSCC_13_388328,29603.9082969432,20370.3799126638
endothelial cells,Endothelial,388757.0,FAAGSCC_13_388757,30419.9234042553,21105.7872340426
stromal cells,Stromal,388882.0,FAAGSCC_13_388882,30066.9602272727,18966.0738636364
stromal cells,Stromal,388943.0,FAAGSCC_13_388943,29653.9583333333,19788.0288461538
stromal cells,Stromal,388965.0,FAAGSCC_13_388965,29820.6934782609,19819.102173913
endothelial cells,Endothelial,389261.0,FAAGSCC_13_389261,29313.0567823344,19155.3659305994
endothelial cells,Endothelial,389423.0,FAAGSCC_13_389423,30402.0736842105,20317.6210526316
stromal cells,Stromal,389772.0,FAAGSCC_13_389772,30253.3413461538,19369.2019230769
stromal cells,Stromal,389895.0,FAAGSCC_13_389895,29265.3971631206,19328.4964539007
stromal cells,Stromal,390460.0,FAAGSCC_13_390460,30130.0,20423.980952381
stromal cells,Stromal,390727.0,FAAGSCC_13_390727,30368.3345454545,21110.9127272727
endothelial cells,Endothelial,391035.0,FAAGSCC_13_391035,29894.3901515152,19538.2159090909
stromal cells,Stromal,391216.0,FAAGSCC_13_391216,29965.2293577982,20835.5779816514
stromal cells,Stromal,391236.0,FAAGSCC_13_391236,30919.156,19753.096
stromal cells,Stromal,391703.0,FAAGSCC_13_391703,30336.5,20870.8804347826
stromal cells,Stromal,391806.0,FAAGSCC_13_391806,30472.3374233129,20590.7484662577
